Symbol,Token,,,,NIFTY 50,,,,,
EMAMILTD,13517,,,,,,,,,
INFOMEDIA,13694,,,,,,,,,
INGERRAND,1597,,,,,,,,,
JAKHARIA,3950,,,,,,,,,
JAIPURKURT,5519,,,,,,,,,
JAINAM,6012,,,,,,,,,
JAICORPLTD,5143,,,,,,,,,
JAIBALAJI,14076,,,,,,,,,
JAGSNPHARM,4410,,,,,,,,,
JALAN,20929,,,,,,,,,
JAGRAN,13211,,,,,,,,,
IZMO,14174,,,,,,,,,
IWEL,3788,,,,,,,,,
IVP,8857,,,,,,,,,
IVC,6711,,,,,,,,,
ITI,1675,,,,,,,,,
ITDCEM,5622,,,,,,,,,
J&KBANK,5633,,,,,,,,,
ITDC,19299,,,,,,,,,
JAMNAAUTO,20778,,,,,,,,,
JAYAGROGN,4041,,,,,,,,,
JINDALPOLY,1756,,,,,,,,,
JINDALPHOT,11743,,,,,,,,,
JHS,13723,,,,,,,,,
JGCHEM,23056,,,,,,,,,
JFLLIFE,10885,,,,,,,,,
JETKNIT,18699,,,,,,,,,
JASH,13982,,,,,,,,,
JETFREIGHT,7211,,,,,,,,,
JCHAC,4491,,,,,,,,,
JBMA,11655,,,,,,,,,
JBCHEPHARM,1726,,,,,,,,,
JAYSREETEA,1720,,,,,,,,,
JAYNECOIND,2331,,,,,,,,,
JAYBARMARU,1708,,,,,,,,,
JETAIRWAYS,13420,,,,,,,,,
ITC,1660,,,,,,,,,
ITALIANE,22645,,,,,,,,,
ISMTLTD,14932,,,,,,,,,
IOB,9348,,,,,,,,,
INVENTURE,24874,,,,,,,,,
INTLCONV,5606,,,,,,,,,
INTENTECH,20071,,,,,,,,,
INTELLECT,5926,,,,,,,,,
INSPIRE,19154,,,,,,,,,
IOC,1624,,,,,,,,,
INSECTICID,14657,,,,,,,,,
INOXINDIA,20607,,,,,,,,,
INOXGREEN,12188,,,,,,,,,
INNOVATIVE,21861,,,,,,,,,
INNOVANA,666,,,,,,,,,
INNOVACAP,21062,,,,,,,,,
INM,22770,,,,,,,,,
INOXWIND,7852,,,,,,,,,
IOLCP,20413,,,,,,,,,
IONEXCHANG,1630,,,,,,,,,
IPCALAB,1633,,,,,,,,,
ISHAN,10995,,,,,,,,,
ISGEC,3329,,,,,,,,,
ISFT,18479,,,,,,,,,
ISEC,2489,,,,,,,,,
IRMENERGY,19597,,,,,,,,,
IRISDOREME,2275,,,,,,,,,
IRIS,6501,,,,,,,,,
IRFC,2029,,,,,,,,,
IREDA,20261,,,,,,,,,
IRCTC,13611,,,,,,,,,
IRCON,4986,,,,,,,,,
IRBINVIT,20817,,,,,,,,,
IRB,15313,,,,,,,,,
IPSL,11903,,,,,,,,,
IPL,4934,,,,,,,,,
INFY,1594,,,,,,,,,
LALPATHLAB,11654,,,,,,,,,
ELIN,13423,,,,,,,,,
ELGIEQUIP,937,,,,,,,,,
ATL,17778,,,,,,,,,
ATGL,6066,,,,,,,,,
ATFL,1663,,,,,,,,,
ATAM,15411,,,,,,,,,
ATALREAL,15653,,,,,,,,,
ASTRON,880,,,,,,,,,
ATLANTAA,13582,,,,,,,,,
ASTRAZEN,5610,,,,,,,,,
ASTRAL,14418,,,,,,,,,
ASTERDM,1508,,,,,,,,,
ASTEC,17728,,,,,,,,,
ASPIRE,23396,,,,,,,,,
ASPINWALL,17270,,,,,,,,,
ASMS,14064,,,,,,,,,
ASTRAMICRO,11618,,,,,,,,,
ASLIND,20503,,,,,,,,,
ATMASTCO,22785,,,,,,,,,
ATULAUTO,30023,,,,,,,,,
AVG,15589,,,,,,,,,
AVANTIFEED,7936,,,,,,,,,
AVALON,15058,,,,,,,,,
AVADHSUGAR,21406,,,,,,,,,
AUTOIND,14106,,,,,,,,,
AUTOAXLES,278,,,,,,,,,
ATUL,263,,,,,,,,,
AUSOMENT,4037,,,,,,,,,
AURUM,10310,,,,,,,,,
AUROPHARMA,275,,,,,,,,,
AUROIMPEX,15869,,,,,,,,,
AURIONPRO,12025,,,,,,,,,
AURDIS,18762,,,,,,,,,
AUBANK,21238,,,,,,,,,
AURUMPP1,23662,,,,,,,,,
AVONMORE,13557,,,,,,,,,
ASKAUTOLTD,20152,,,,,,,,,
